datetime,cpm,cps
 2019-07-31 18:35:04,10,0
 2019-07-31 18:35:05,10,0
 2019-07-31 18:35:06,10,0
 2019-07-31 18:35:07,10,0
 2019-07-31 18:35:08,10,0
 2019-07-31 18:35:08,10,0
 2019-07-31 18:35:09,10,0
 2019-07-31 18:35:11,10,0
 2019-07-31 18:35:12,10,0
 2019-07-31 18:35:13,11,1
 2019-07-31 18:35:14,11,0
 2019-07-31 18:35:15,11,0
 2019-07-31 18:35:15,10,0
 2019-07-31 18:35:16,10,0
 2019-07-31 18:35:18,10,0
 2019-07-31 18:35:19,10,0
 2019-07-31 18:35:20,10,0
 2019-07-31 18:35:21,10,0
 2019-07-31 18:35:22,10,0
 2019-07-31 18:35:23,8,0
 2019-07-31 18:35:23,8,0
 2019-07-31 18:35:24,8,0
 2019-07-31 18:35:26,7,0
 2019-07-31 18:35:27,7,0
 2019-07-31 18:35:28,7,0
 2019-07-31 18:35:29,7,0
 2019-07-31 18:35:30,5,0
 2019-07-31 18:35:30,5,0
 2019-07-31 18:35:31,5,0
 2019-07-31 18:35:33,5,0
 2019-07-31 18:35:34,5,0
 2019-07-31 18:35:35,5,0
 2019-07-31 18:35:36,4,0
 2019-07-31 18:35:37,4,0
 2019-07-31 18:35:38,4,0
 2019-07-31 18:35:38,3,0
 2019-07-31 18:35:40,3,0
 2019-07-31 18:35:41,3,0
 2019-07-31 18:35:42,3,0
 2019-07-31 18:35:43,4,1
 2019-07-31 18:35:44,5,1
 2019-07-31 18:35:45,4,0
 2019-07-31 18:35:45,4,0
 2019-07-31 18:35:46,4,1
 2019-07-31 18:35:48,4,0
 2019-07-31 18:35:49,4,0
 2019-07-31 18:35:50,4,0
 2019-07-31 18:35:51,5,1
 2019-07-31 18:35:52,7,2
 2019-07-31 18:35:52,7,0
 2019-07-31 18:35:53,8,1
 2019-07-31 18:35:55,9,1
 2019-07-31 18:35:56,9,0
 2019-07-31 18:35:57,10,1
 2019-07-31 18:35:58,10,0
 2019-07-31 18:35:59,11,1
 2019-07-31 18:36:00,12,1
 2019-07-31 18:36:00,12,0
 2019-07-31 18:36:01,13,1
 2019-07-31 18:36:03,14,1
 2019-07-31 18:36:04,14,0
 2019-07-31 18:36:05,14,0
 2019-07-31 18:36:06,14,0
 2019-07-31 18:36:07,15,1
 2019-07-31 18:36:07,15,0
 2019-07-31 18:36:08,15,0
 2019-07-31 18:36:10,16,1
 2019-07-31 18:36:11,16,0
 2019-07-31 18:36:12,16,0
 2019-07-31 18:36:13,15,0
 2019-07-31 18:36:14,15,0
